id,question,expected_pipeline,actual_pipeline,ok,answer,sources,remarks
Q001,hello,,SYSTEM,True,"Hello! Welcome to Toyota Cambodia. I'm here to help you.

You can ask me about:
• Price & specs of any Toyota model
• Features (CarPlay, 360 camera, airbags, seats)
• Compare two models
• Recommendations based on your budget
• Pre-owned / used listings

What would you like to know?",,
Q002,thanks,,SYSTEM,True,You're welcome. What would you like to know about Toyota Cambodia?,,
Q003,/reset,,SYSTEM,True,Reset done.,,
Q004,price of yaris cross gasoline,,CSV_METHOD,True,"The **YARIS CROSS GASOLINE** is priced at **$37,500** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications,
Q005,how much is fortuner legender,,CSV_METHOD,True,"The **Fortuner Legender** is priced at **$65,500** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,
Q006,starting price of raize,,CSV_METHOD,True,"The **Raize** is priced at **$26,800** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/raize/raize.html#specifications,
Q007,specs of fortuner legender,,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Fortuner Legender**:

**Price:** $65,500
**Seats:** 7.0
**Fuel:** Diesel
**Body type:** SUV
**Transmission:** 6-speed automatic
**Engine:** 2.8 L, 4-cylinder diesel, in-line, 16-valve DOHC",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,
Q008,show specs for veloz,,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Veloz**:

**Price:** $35,900
**Seats:** 7.0
**Fuel:** Gasoline
**Body type:** MVP
**Transmission:** CVT
**Engine:** 1.5 L, 4-cylinder gasoline, in-line, 16-valve DOHC Chain Drive with Dual VVT-i",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,
Q009,specs?,,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Veloz**:

**Price:** $35,900
**Seats:** 7.0
**Fuel:** Gasoline
**Body type:** MVP
**Transmission:** CVT
**Engine:** 1.5 L, 4-cylinder gasoline, in-line, 16-valve DOHC Chain Drive with Dual VVT-i",https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,
Q010,summary of raize,,CSV_METHOD,True,"Sure! Here's a quick overview of the **Raize**:

The Raize is a Gasoline-powered SUV priced at **$26,800**. It seats up to **5.0 passengers** and comes with a **7-speed CVT** transmission.",https://www.toyota.com.kh/en/models/raize/raize.html#specifications,
Q011,give me summary for corolla cross hev,,CSV_METHOD,True,"Sure! Here's a quick overview of the **Corolla Cross HEV**:

The Corolla Cross HEV is a Hybrid-powered SUV priced at **$49,900**. It seats up to **5.0 passengers** and comes with a **7-speed CVT** transmission.",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html,
Q012,summary?,,CSV_METHOD,True,"Sure! Here's a quick overview of the **Corolla Cross HEV**:

The Corolla Cross HEV is a Hybrid-powered SUV priced at **$49,900**. It seats up to **5.0 passengers** and comes with a **7-speed CVT** transmission.",https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric.html,
Q013,does corolla cross have 360 camera,,CSV_METHOD,True,Yes. The **COROLLA CROSS GASOLINE** includes **360° Panoramic View Monitor**.,https://www.toyota.com.kh/en/models/corolla-cross/corolla-cross-hybrid-electric-old.html#specifications,
Q014,does yaris cross have apple carplay,,CSV_METHOD,True,Thanks. I don’t have that feature captured in the current dataset yet.,https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color,
Q015,what is the transmission of veloz,,CSV_METHOD,True,The **Veloz** has **Transmission**: **CVT**.,https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications,
Q016,what is the fuel type of land cruiser 250 diesel,,CSV_METHOD,True,The **Land Cruiser 250 Diesel** has **Fuel type**: **diesel**.,https://www.toyota.com.kh/en/models/land-cruiser-250/land-cruiser-250-diesel.html#specifications,
Q017,what is the seat number of hiace 16 seater,,CSV_METHOD,True,The **Hiace 16-seater** has **Seats**: **16.0**.,https://www.toyota.com.kh/en/models/hiace/hiace-16-seater.html#specifications,
Q018,price of it,,CSV_METHOD,True,"The **Hiace 16-seater** is priced at **$49,900** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/hiace/hiace-16-seater.html#specifications,
Q019,what about specs,,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Hiace 16-seater**:

**Price:** $49,900
**Seats:** 16.0
**Fuel:** Diesel
**Body type:** Bus
**Transmission:** 5 M/T
**Engine:** 2.5 L, 4-cylinder diesel, in-line",https://www.toyota.com.kh/en/models/hiace/hiace-16-seater.html#specifications,
Q020,does it have 360 camera,,CSV_METHOD,True,No. The **Hiace 16-seater** does not include **360° Panoramic View Monitor**.,https://www.toyota.com.kh/en/models/hiace/hiace-16-seater.html#specifications,
Q021,compare veloz vs vios,,CSV_METHOD,True,"Here’s a quick comparison (official dataset): Veloz vs Vios
- Price: $35,900 vs $33,900
- Seats: 7.0 vs 5.0
- Fuel: gasoline vs gasoline
- Body type: MVP vs Sedan
- Transmission: CVT vs N/A","https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications, https://www.toyota.com.kh/en/models/vios/vios.html#specifications",
Q022,vios vs raize,,CSV_METHOD,True,"Here’s a quick comparison (official dataset): Raize vs Vios
- Price: $26,800 vs $33,900
- Seats: 5.0 vs 5.0
- Fuel: gasoline vs gasoline
- Body type: SUV vs Sedan
- Transmission: N/A vs N/A","https://www.toyota.com.kh/en/models/raize/raize.html#specifications, https://www.toyota.com.kh/en/models/vios/vios.html#specifications",
Q023,compare,,SYSTEM,True,Which two Toyota models do you want to compare? Example: compare Veloz vs Vios,,
Q024,recommend suv,,CSV_METHOD,True,Sure. Tell me your budget (USD). Example: budget 40000,,
Q025,i want to buy a new car,,CSV_METHOD,True,Sure. Tell me your budget (USD). Example: budget 40000,,
Q026,recommend SUV under $45000 gasoline,,CSV_METHOD,True,"Here are some Toyota models that match your preferences:

1. Raize
   $26,800 | 5.0 seats | Gasoline | SUV
2. YARIS CROSS GASOLINE
   $37,500 | N/A seats | Gasoline | SUV

Reply with a listing number (1–10) or model name to see more details.","https://www.toyota.com.kh/en/models/raize/raize.html#specifications, https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications",
Q027,budget 40000 fuel gasoline body suv,,CSV_METHOD,True,"Here are some Toyota models that match your preferences:

1. Raize
   $26,800 | 5.0 seats | Gasoline | SUV
2. YARIS CROSS GASOLINE
   $37,500 | N/A seats | Gasoline | SUV

Reply with a listing number (1–10) or model name to see more details.","https://www.toyota.com.kh/en/models/raize/raize.html#specifications, https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications",
Q028,budget 35000 body sedan fuel gasoline,,CSV_METHOD,True,"Here are some Toyota models that match your preferences:

1. Vios
   $33,900 | 5.0 seats | Gasoline | Sedan

Reply with a listing number (1–10) or model name to see more details.",https://www.toyota.com.kh/en/models/vios/vios.html#specifications,
Q029,budget 60000 body suv fuel diesel min seats 7,,CSV_METHOD,True,I couldn't find a perfect match with those filters. Try a slightly higher budget or a different body type / fuel.,,
Q030,recommend pickup,,CSV_METHOD,True,Sure. Tell me your budget (USD). Example: budget 40000,,
Q031,budget 50000,,CSV_METHOD,True,What fuel do you prefer? (Gasoline / Diesel / Hybrid / EV),,
Q032,diesel,,CSV_METHOD,True,"Here are some Toyota models that match your preferences:

1. Hilux Revo V-Edition
   $40,900 | 5.0 seats | Diesel | Pickup

Reply with a listing number (1–10) or model name to see more details.",https://www.toyota.com.kh/en/models/hilux-revo/hilux-revo-v-edition.html#specifications,
Q033,pickup,,SYSTEM,True,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",,
Q034,recommend suv under 45000 gasoline,,CSV_METHOD,True,"Here are some Toyota models that match your preferences:

1. Raize
   $26,800 | 5.0 seats | Gasoline | SUV
2. YARIS CROSS GASOLINE
   $37,500 | N/A seats | Gasoline | SUV

Reply with a listing number (1–10) or model name to see more details.","https://www.toyota.com.kh/en/models/raize/raize.html#specifications, https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-manual-transmission.html#specifications",
Q035,both,,SYSTEM,True,"Tell me a model name and what you want (price, specs, feature, compare, recommend, or preowned).",,
Q036,Fortuner Legender preowned price year mileage,,PREOWNED_RAG,False,,"https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Modelista-PP-2CD-5472.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-RY-M-520.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BT-1571.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-9255.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-AYA-6336.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-6886.html",empty_answer
Q037,Veloz preowned price,,PREOWNED_RAG,False,,"https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-7465.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CD-1304.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-8620.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2BY-0425.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-2641.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CA-2237.html",empty_answer
Q038,Yaris Cross used price,,PREOWNED_RAG,False,,"https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Yaris-Cross-PP-2CD-0284.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Yaris-Cross-PP-2CA-0914.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-Hybrid-PP-2CI-0199.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BY-0075.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2CB-1838.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BV-7221.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BS-5711.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BQ-1429.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BP-7744.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BO-3110.html",empty_answer
Q039,pre-owned corolla cross hybrid year mileage,,PREOWNED_RAG,False,,,empty_answer
Q040,show me listings for raize preowned,,PREOWNED_RAG,False,,"https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Raize-PP-2BX-0611.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Raize-PP-2BT-9148.html",empty_answer
Q041,preowned plate number fortuner,,PREOWNED_RAG,False,,"https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Modelista-PP-2CD-5472.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-RY-M-520.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BT-1571.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-9255.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-AYA-6336.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-6886.html",empty_answer
Q042,certified pre-owned veloz 2024 mileage,,PREOWNED_RAG,False,,"https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2BY-0425.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-2641.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CA-2237.html",empty_answer
Q043,preowned yaris cross,,PREOWNED_RAG,False,,"https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Yaris-Cross-PP-2CD-0284.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Yaris-Cross-PP-2CA-0914.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-Hybrid-PP-2CI-0199.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BY-0075.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2CB-1838.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BV-7221.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BS-5711.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BQ-1429.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BP-7744.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Corolla-Cross-PP-2BO-3110.html",empty_answer
Q044,used fortuner legender,,PREOWNED_RAG,False,,"https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Modelista-PP-2CD-5472.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-RY-M-520.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BT-1571.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-9255.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-CAM-AYA-6336.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Fortuner-Legender-PP-2BQ-6886.html",empty_answer
Q045,mileage of preowned veloz,,PREOWNED_RAG,False,,"https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-7465.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CD-1304.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-8620.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2BY-0425.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CB-2641.html, https://www.toyota.com.kh/en/toyota-certified-pre-owned/models/Toyota-Veloz-PP-2CA-2237.html",empty_answer
Q046,does raize have sunroof panoramic and ventilated seat,,CSV_METHOD,True,The **Raize** has **Seats**: **5.0**.,https://www.toyota.com.kh/en/models/raize/raize.html#specifications,
Q047,what is the 0-100 acceleration of vios,,SYSTEM,True,"That's a great question, but unfortunately I don't have that information in our dataset. Feel free to ask about price, specs, features, comparisons, recommendations, or pre-owned listings.",,
Q048,tell me the best car in cambodia overall,,SYSTEM,True,"That's a great question, but unfortunately I don't have that information in our dataset. Feel free to ask about price, specs, features, comparisons, recommendations, or pre-owned listings.",,
Q049,1) price of yaris cross,,CSV_METHOD,True,"The **Yaris Cross HEV** is priced at **$43,500** (USD). Would you like to know more about its specs or features?",https://www.toyota.com.kh/en/models/yaris-cross/yaris-cross-hybrid-electric.html#color,
Q050,"""specs of    fortuner    legender  """,,CSV_METHOD,True,"Great question! Here's a quick spec overview for the **Fortuner Legender**:

**Price:** $65,500
**Seats:** 7.0
**Fuel:** Diesel
**Body type:** SUV
**Transmission:** 6-speed automatic
**Engine:** 2.8 L, 4-cylinder diesel, in-line, 16-valve DOHC",https://www.toyota.com.kh/en/models/fortuner/fortuner-legender.html#specifications,
Q051,(summary of raize),,CSV_METHOD,True,"Sure! Here's a quick overview of the **Raize**:

The Raize is a Gasoline-powered SUV priced at **$26,800**. It seats up to **5.0 passengers** and comes with a **7-speed CVT** transmission.",https://www.toyota.com.kh/en/models/raize/raize.html#specifications,
Q052,compare    veloz   versus   vios,,CSV_METHOD,True,"Here’s a quick comparison (official dataset): Veloz vs Vios
- Price: $35,900 vs $33,900
- Seats: 7.0 vs 5.0
- Fuel: gasoline vs gasoline
- Body type: MVP vs Sedan
- Transmission: CVT vs N/A","https://www.toyota.com.kh/en/models/veloz/veloz-manual-transmission.html#specifications, https://www.toyota.com.kh/en/models/vios/vios.html#specifications",
